name,meal_type,protein_type,cuisine,usda_cal,edamam_cal,delta_cal_%,usda_protein,edamam_protein,delta_protein_%,usda_fat,edamam_fat,delta_fat_%,usda_carbs,edamam_carbs,delta_carbs_%
"Pan Seared Bok Choy",side,,Asian,285,279,2,8.5,6.3,35,22,22,0,18.8,20.3,-7
"Potatoes Au Gratin",side,,American,7350,3342,120,187.7,80.6,133,478.1,242.5,97,630,225.7,179
"Pan con Tomate",side,,Mediterranean,122,1220,-90,5,44.7,-89,1.2,28.6,-96,24.2,199.1,-88
"Fluffy Creamy Mashed Potatoes",side,,American,2015,2723,-26,45.1,42.2,7,126.3,174.8,-28,189.8,266,-29
"Mexican Roasted Zucchini",side,,Mexican,733,807,-9,28.3,32.2,-12,62.6,63.7,-2,19.1,36.6,-48
"Air Fryer Sweet Potatoes",side,,American,955,1006,-5,12.3,12.4,-1,33.5,29.3,14,157.9,184.2,-14
"Cilantro Lime Baked Salmon",entree,Salmon,Mediterranean,2692,2941,-8,186.1,189.3,-2,203.4,230.5,-12,28.3,25.5,11
"Creamy Smoked Salmon Pasta",entree,Salmon,Mediterranean,2406,2202,9,109,109.4,0,93.7,75.3,24,278.3,279.6,0
"Parmesan Crusted Salmon",entree,Salmon,Italian,2947,2567,15,239.1,243.1,-2,157.3,144,9,133.3,61.4,117
"Herb Crusted Roasted Salmon",entree,Salmon,American,785,2323,-66,42.1,187.6,-78,67.3,168.1,-60,3.8,6.8,-44
"Baked Salmon Poke Bowls",entree,Salmon,Asian,3337,4959,-33,192,348.9,-45,134.4,273.5,-51,341.8,264.2,29
"Honey-Harissa Baked Salmon",entree,Salmon,Mediterranean,2031,2549,-20,66.6,145.7,-54,99.3,136.5,-27,219.6,180.5,22
"Mediterranean Salmon Skillet",entree,Salmon,Mediterranean,3324,3175,5,197.5,175.7,12,174.7,189.2,-8,237.6,194.5,22
"Honey-Chipotle Salmon Tacos",entree,Salmon,Mexican,1679,2174,-23,117,115.1,2,90.2,132.1,-32,107.6,146,-26
"Baked One Pan Garlic Butter Coconut Salmon",entree,Salmon,Asian,3495,3651,-4,179.6,163,10,270,293.1,-8,112.4,120.8,-7
"Pan Seared Salmon with Lemon Garlic Butter Sauce",entree,Salmon,American,1820,2039,-11,161.7,164.8,-2,120.1,143.4,-16,19,16.5,15
"Mexcian Meatball Soup",entree,Beef,Mexican,5635,6142,-8,405.3,321.4,26,314.6,392.6,-20,299.5,345,-13
"Middle Eastern Steak Bowl",entree,Beef,Middle Eastern,1831,1802,2,70.1,68.7,2,132.6,132.1,0,97.3,93.9,4
"Steak Salad with Dijon Balsamic Dressing",entree,Beef,American,2924,2161,35,222,76.8,189,202.5,179.8,13,68.9,74.8,-8
"Steak and Caramelized Onion Salad",entree,Beef,American,2465,4319,-43,78,186.2,-58,206.9,337.4,-39,96.3,154.1,-38
"Beef and Cabbage Stir Fry",entree,Beef,Asian,1951,1450,35,94.7,93.4,1,100.3,99.6,1,164.4,45.5,261
"Quick Lamb Ragù",entree,Beef,Italian,2152,3313,-35,95.9,152.2,-37,143.3,159.6,-10,117.7,326.8,-64
"How To Make Caesar Salad",salad,,American,2872,2183,32,112.8,67.6,67,248.2,173.4,43,46.6,100.7,-54
"Persian Chopped Salad",salad,,Middle Eastern,3186,2306,38,119.5,67.3,78,140.4,128.7,9,403,246.4,64
"Quinoa Southwest Salad",salad,,Mexican,2921,2230,31,105.4,81.2,30,81.4,115.3,-29,465.8,240.6,94
"Best Healthy Coleslaw Ever No Mayo",salad,,American,1084,1257,-14,33.4,36.4,-8,85.5,91.6,-7,61.5,92.6,-34
"Chili Mango Zesty Quinoa Salad",salad,,Mexican,1558,1287,21,64.3,42,53,39.4,40.9,-4,268.9,215.5,25
"Broccoli Crunch Salad",salad,,American,1850,1604,15,61,54.8,11,115.5,103.7,11,172.9,142.3,22
"Tofu Pad Thai",entree,Vegetable,Thai,1438,1337,8,79.4,69.8,14,46.8,47.8,-2,188.3,159.7,18
"Carrot Ginger Soup",entree,Vegetable,,463,378,22,8.2,6,37,15.3,15.1,1,78.6,59.9,31
"The Best Fried Rice",entree,Vegetable,,3949,3478,14,73.3,76.4,-4,42.9,52.1,-18,795,659.2,21
"Weeknight Gochujang Shrimp Tacos",entree,Seafood,Korean,2058,2947,-30,116.7,190.2,-39,53.9,148,-64,295.6,241.8,22
"Healthy Shrimp Fajita Bowls",entree,Seafood,Mexican,1689,1490,13,118,111.5,6,42.5,33.6,26,215.6,189.5,14
"Ultimate Garlic Shrimp Scampi",entree,Seafood,Italian,1587,2326,-32,29.9,196.1,-85,66.5,70.1,-5,189,210.5,-10
"Easy Refrigerator Pickles Recipe",sauce,,American,225,120,88,9.3,4,133,4,1.4,186,39.5,20.3,95
"Spinach Artichoke Dip",sauce,,American,2738,2314,18,143.3,93.7,53,201.6,168.5,20,99.8,118.7,-16
"Soy Sauce Eggs",side,Vegetable,Asian,476,914,-48,14.9,64.8,-77,4.9,41.8,-88,107,72.6,47
"Sauteed Spinach",side,Vegetable,American,616,366,68,18.7,15.7,19,52.9,27.4,93,27.9,23.6,18
"Mapo Tofu",entree,Pork,Asian,1324,1113,19,26.5,82.9,-68,69.5,78,-11,150.4,30.9,387
"Cuban Mojo Pork",entree,Pork,Cuban,5052,4836,4,249.8,239.6,4,412.2,408.8,1,89.7,45.4,98
"Chickpea Tuna Salad",entree,Fish,,1239,1004,23,43.9,61,-28,60.5,42.4,43,138,101.7,36
"Corn Tomato Avocado Salad",salad,Vegetable,American,1443,537,169,29.4,10.9,170,60.9,32.5,87,212.7,65.5,225
"Turkey Meatballs",entree,Turkey,Italian,3774,2037,85,382.9,153.5,149,192.4,108.9,77,125,110,14
"Tomato Basil Pasta",entree,Pasta,Italian,1582,2479,-36,62.6,172.6,-64,48.8,63.6,-23,70.7,299.4,-76
"Lamb Tagine",entree,Lamb,Moroccan,3626,4244,-15,203.7,217.5,-6,229.3,240.5,-5,190.6,303.2,-37
"Marry Me Pasta (Vegan)",entree,Vegetarian,Italian,2172,4430,-51,88.6,105.7,-16,68.2,302.9,-77,315,345.2,-9
"Blistered Green Bean Casserole with Parmesan and Rosemary",side,Legumes,American,28307,1636,1630,3932.2,45.3,8580,1352.8,117.7,1049,187.2,126.6,48
"Lemony Shaved Fennel Asparagus Salad",entree,Salad,Mediterranean,3606,2659,36,141.3,108.9,30,100.2,109.2,-8,555.6,344.4,61
